variant,parameter_count,training_steps,training_tokens,final_bpb,delta_bpb,steady_state_tokens_per_second,normalized_throughput,wall_seconds
engram,1309550,40,15728640,2.167428801,-0.334663388,3861844.235,0.960808,36.218
kimi-k3-kda-update,1209239,37,14548992,2.178212653,-0.323879536,1211830.589,0.301498,217.395
glm-mla,1209110,37,14548992,2.179099803,-0.322992386,3889982.360,0.967809,30.813
inkling-relative-attention,1217110,37,14548992,2.179734464,-0.322357725,3031932.491,0.754330,35.280
partial-rope-25,1208854,37,14548992,2.180227642,-0.321864547,3948639.767,0.982403,31.944
attnres,1208929,37,14548992,2.180520752,-0.321571437,3797451.118,0.944788,37.368
mhc,1212034,37,14548992,2.180574517,-0.321517672,2622664.277,0.652506,64.392
inkling-sconv-kv,1208982,37,14548992,2.180780565,-0.321311624,3797174.106,0.944719,33.985
inkling-sconv-residual,1208982,37,14548992,2.181503578,-0.320588611,3859974.766,0.960343,33.600
kda,1209239,37,14548992,2.184269361,-0.317822828,1208195.298,0.300593,233.111
gated-attention,1208870,37,14548992,2.227634610,-0.274457579,3915089.154,0.974055,32.240
situ-glu,1208838,37,14548992,2.229147569,-0.272944620,3874863.097,0.964047,31.311
dsa,1209158,37,14548992,2.231177885,-0.270914304,1992895.253,0.495823,75.747
xielu,1208858,37,14548992,2.253217827,-0.248874362,3927003.099,0.977020,32.291
qwen-gdn,1209718,37,14548992,2.282734928,-0.219357260,1164314.076,0.289676,88.266
baseline,1208854,37,14548992,2.502092189,0.000000000,4019369.917,1.000000,34.349
colu,1208790,37,14548992,3.010534990,0.508442801,3891596.181,0.968211,42.829
