backend,variant,seed,parameter_count,training_steps,training_tokens,final_bpb,tokens_per_second,wall_seconds,source_commit,megatron_commit,backend_profile,optimization_recipe,source_dirty,source_diff_sha256,source_worktree_sha256,steady_state_tokens_per_second,median_step_seconds,p90_step_seconds
megatron,attnres,42,9364709,286,112459776,1.501760003984521,1487027.3738807093,653.0210395390168,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,attnres,43,9364709,286,112459776,1.5001857668718437,1317326.4000097977,718.4790862440132,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,attnres,44,9364709,286,112459776,1.4990278857557924,1483773.231734192,653.655511997058,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,baseline,42,9363488,286,112459776,1.5036948989788135,1560974.4839304907,556.5531861489872,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,baseline,43,9363488,286,112459776,1.5142924421713753,1354170.2572235917,604.974876696011,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,baseline,44,9363488,286,112459776,1.5033248907256265,1553395.098570841,559.2711589270039,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,dsa,42,9391248,287,112852992,1.615787473279015,197439.96932131055,1419.863575826981,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,dsa,43,9391248,287,112852992,1.6153616112025626,184208.2544848719,1515.0990854890551,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,dsa,44,9391248,287,112852992,1.61531383057966,203295.07060633635,1415.1467188780662,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,engram,42,10284800,314,123469824,1.4844981553694727,1534186.5992062874,587.3557633269811,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,engram,43,10284800,314,123469824,1.4855126824994418,1317675.5208272173,669.2640120639699,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,engram,44,10284800,314,123469824,1.4859607623868127,1540039.6297215058,593.2484627689701,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,gated-attention,42,9365448,286,112459776,1.5011559498661484,1576327.4376528629,551.9161125489045,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
megatron,gated-attention,43,9365448,286,112459776,1.5134403151157882,1349756.8988538724,621.2167237519752,4d4149ce4745307837eaccc8866d480c7332127b,55ac7082517c3878ae653c07c09c534b8aed49f6,compile-max-autotune,z-loss-5e-6-clip01,True,29dfeec12cfeae4df881c8b153f6b9eaed86022a2c7e060a723c563ad8ce5ed6,,,,
