backend,variant,seed,parameter_count,training_steps,training_tokens,final_bpb,tokens_per_second,wall_seconds
speedrun,baseline,42,9363488,286,112459776,1.550233214988311,1375228,78.91608095169067
speedrun,engram,42,10284800,314,123469824,1.4872970286354055,1351641,88.43885111808777
speedrun,kda,42,9372437,286,112459776,1.454332683702981,602069,180.25749015808105
speedrun,dsa,42,9391248,287,112852992,1.6339830165072566,433009,251.5439863204956
speedrun,attnres,42,9364709,286,112459776,1.4960570913554467,1237338,87.710529088974
speedrun,mhc,42,9417518,287,112852992,1.5420388575623754,882394,123.43780755996704
speedrun,gated-attention,42,9365448,286,112459776,1.5464668576315812,1327172,81.7735767364502
speedrun,situ-glu,42,9363208,286,112459776,1.5523236897847212,1452486,74.71852350234985
speedrun,inkling-relative-attention,42,9420128,287,112852992,1.5524670534551452,566720,192.19490385055542
speedrun,glm-mla,42,9394848,287,112852992,1.5497065666076613,1339815,81.29541230201721
speedrun,xielu,42,9363498,286,112459776,1.5537078853961346,1351232,80.31750226020813
speedrun,qwen-gdn,42,9423916,288,113246208,1.4738481214598627,609090,179.47100281715393
speedrun,inkling-sconv-kv,42,9365728,286,112459776,1.5424988612097468,1338202,81.09956526756287
speedrun,inkling-sconv-residual,42,9365728,286,112459776,1.4813045821994317,1305897,83.10579109191895
speedrun,partial-rope-25,42,9363488,286,112459776,1.5737138593874942,1441527,75.2865378856659
speedrun,kimi-k3-kda-update,42,9385429,286,112459776,1.4511551248153767,619741,175.117493391037
speedrun,baseline,43,9363488,286,112459776,1.5588903658411504,1384066,78.41216802597046
speedrun,engram,43,10284800,314,123469824,1.4914268322701292,1384013,86.37029218673706
speedrun,kda,43,9372437,286,112459776,1.4723408655735124,605266,179.3055157661438
speedrun,dsa,43,9391248,287,112852992,1.6346510137175567,434279,250.80800104141235
speedrun,attnres,43,9364709,286,112459776,1.49729141381086,1255029,86.47418761253357
speedrun,mhc,43,9417518,287,112852992,1.55335466830976,846714,128.63941597938538
speedrun,gated-attention,43,9365448,286,112459776,1.5603291171412006,1354390,80.13020706176758
speedrun,situ-glu,43,9363208,286,112459776,1.5648817273628615,1425161,76.1510877609253
speedrun,inkling-relative-attention,43,9420128,287,112852992,1.5624794172098095,560667,194.26976442337036
speedrun,glm-mla,43,9394848,287,112852992,1.5545668275166644,1394319,78.11754631996155
speedrun,xielu,43,9363498,286,112459776,1.5590811557636282,1352198,80.26012587547302
speedrun,qwen-gdn,43,9423916,288,113246208,1.4850588505115203,657437,166.2728168964386
speedrun,inkling-sconv-kv,43,9365728,286,112459776,1.5474704033245494,1250662,86.77608752250671
speedrun,inkling-sconv-residual,43,9365728,286,112459776,1.5156636619103925,1327460,81.75582194328308
speedrun,partial-rope-25,43,9363488,286,112459776,1.5836685676984852,1358831,79.86833548545837
speedrun,kimi-k3-kda-update,43,9385429,286,112459776,1.4679850897966502,630780,172.05279350280762
speedrun,baseline,44,9363488,286,112459776,1.555817888649273,1321390,82.13136625289917
speedrun,engram,44,10284800,314,123469824,1.490441885107378,1323190,90.3404712677002
speedrun,kda,44,9372437,286,112459776,1.4599979509948844,614538,176.6000680923462
speedrun,dsa,44,9391248,287,112852992,1.6319956085657996,436337,249.6254279613495
speedrun,attnres,44,9364709,286,112459776,1.5011098470521977,1279747,84.80390524864197
speedrun,mhc,44,9417518,287,112852992,1.5244542572175401,884896,123.0887942314148
speedrun,gated-attention,44,9365448,286,112459776,1.540856920967074,1299069,83.5425500869751
speedrun,situ-glu,44,9363208,286,112459776,1.5619767919306904,1280277,84.76879525184631
speedrun,inkling-relative-attention,44,9420128,287,112852992,1.5603841377930932,566200,192.37148475646973
speedrun,glm-mla,44,9394848,287,112852992,1.5557974302660342,1389978,78.36154913902283
speedrun,xielu,44,9363498,286,112459776,1.5596367868538663,1306210,83.08582949638367
speedrun,qwen-gdn,44,9423916,288,113246208,1.490401123328652,669833,163.1957652568817
speedrun,inkling-sconv-kv,44,9365728,286,112459776,1.5529890522032408,1265879,85.73300004005432
speedrun,inkling-sconv-residual,44,9365728,286,112459776,1.5180827107406396,1276590,85.01362633705139
speedrun,partial-rope-25,44,9363488,286,112459776,1.5814767309123912,1321545,82.12176179885864
speedrun,kimi-k3-kda-update,44,9385429,286,112459776,1.465641674989286,637722,170.1800754070282
