step,tokens,historical_speedrun_bpb,current_speedrun_bpb,megatron_bpb,current_minus_historical,megatron_minus_current
0,0,3.163924000000,3.163923375176,,-0.000000624824,
250,98304000,1.186498000000,1.189590665425,1.187245210954,+0.003092665425,-0.002345454470
500,196608000,1.079514000000,1.081790019568,1.082406729757,+0.002276019568,+0.000616710189
750,294912000,1.047763000000,1.045799306299,1.047515130899,-0.001963693701,+0.001715824599
1000,393216000,1.029807000000,1.029832933071,1.030238386479,+0.000025933071,+0.000405453408
1250,491520000,1.013535000000,1.014043090892,1.013063726316,+0.000508090892,-0.000979364577
1500,589824000,0.997158000000,0.997538445202,0.995361452731,+0.000380445202,-0.002176992471
1750,688128000,0.983678000000,0.983709585553,0.981330884394,+0.000031585553,-0.002378701159
2000,786432000,0.969919000000,0.969437228452,0.968226028232,-0.000481771548,-0.001211200220
2250,884736000,0.957061000000,0.956614239312,0.955647557093,-0.000446760688,-0.000966682219
2500,983040000,0.944114000000,0.944097738452,0.943992300768,-0.000016261548,-0.000105437683
2750,1081344000,0.933061000000,0.932997593161,0.933454688972,-0.000063406839,+0.000457095811
3000,1179648000,0.923172000000,0.922995071128,0.924163265880,-0.000176928872,+0.001168194752
3228,1269301248,0.916366477465,0.916150269551,0.917560837297,-0.000216207914,+0.001410567746
