run_path,mode,backend_profile,optimization_recipe,seed,parameter_count,training_steps,training_tokens,final_bpb,tokens_per_second,measured_training_seconds,wall_seconds,source_commit,source_dirty,source_diff_sha256,megatron_commit,torch,cuda,triton_ptxas_path,accelerator,compute_capability
full/refinement-and-dp-sm103a-v1/clip005-s42,full,compile,grad-clip-005,42,9363488,286,112459776,1.517251313423806,1286916.5057529216,84.33151297294535,123.00240478105843,4d4149ce4745307837eaccc8866d480c7332127b,True,9a514c5fd40fd09abdf2bacbec2b3a065730090978f9a82eba55cd488360634c,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/refinement-and-dp-sm103a-v1/clip015-s42,full,compile,grad-clip-015,42,9363488,286,112459776,1.5198368429334888,1223593.2844767876,88.69582513801288,128.61385607300326,4d4149ce4745307837eaccc8866d480c7332127b,True,9a514c5fd40fd09abdf2bacbec2b3a065730090978f9a82eba55cd488360634c,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/refinement-and-dp-sm103a-v1/clip02-s42,full,compile,grad-clip-02,42,9363488,286,112459776,1.5219589525663093,1259002.1693709632,86.20129388198256,126.59875225496944,4d4149ce4745307837eaccc8866d480c7332127b,True,9a514c5fd40fd09abdf2bacbec2b3a065730090978f9a82eba55cd488360634c,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/refinement-and-dp-sm103a-v1/dp-compile-probe,probe,compile,baseline,42,9363488,30,11796480,1.9191884439610314,2371780.133964592,3.3157879549544305,52.371615812997334,4d4149ce4745307837eaccc8866d480c7332127b,True,9a514c5fd40fd09abdf2bacbec2b3a065730090978f9a82eba55cd488360634c,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/refinement-and-dp-sm103a-v1/dp-overlap-average-probe,probe,compile-dp-overlap-average,baseline,42,9363488,30,11796480,1.9191978870985678,2205077.4575033914,3.566459750989452,52.079468228970654,4d4149ce4745307837eaccc8866d480c7332127b,True,9a514c5fd40fd09abdf2bacbec2b3a065730090978f9a82eba55cd488360634c,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/refinement-and-dp-sm103a-v1/dp-overlap-probe,probe,compile-dp-overlap,baseline,42,9363488,30,11796480,1.919189283270293,1951645.471053365,4.029584325966425,61.17174374102615,4d4149ce4745307837eaccc8866d480c7332127b,True,9a514c5fd40fd09abdf2bacbec2b3a065730090978f9a82eba55cd488360634c,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/refinement-and-dp-sm103a-v1/max-baseline-s43,full,compile-max-autotune,baseline,43,9363488,286,112459776,1.5448325509134886,1638232.5174858992,66.24677195795812,166.99453928496223,4d4149ce4745307837eaccc8866d480c7332127b,True,9a514c5fd40fd09abdf2bacbec2b3a065730090978f9a82eba55cd488360634c,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/refinement-and-dp-sm103a-v1/max-baseline-s44,full,compile-max-autotune,baseline,44,9363488,286,112459776,1.5478360244016474,1650574.9190873469,65.75140258402098,167.1204059049487,4d4149ce4745307837eaccc8866d480c7332127b,True,9a514c5fd40fd09abdf2bacbec2b3a065730090978f9a82eba55cd488360634c,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/refinement-and-dp-sm103a-v1/max-clip01-s42,full,compile-max-autotune,grad-clip-01,42,9363488,286,112459776,1.5171077691949533,1436813.4537456161,75.53354662505444,203.25559744006023,4d4149ce4745307837eaccc8866d480c7332127b,True,9a514c5fd40fd09abdf2bacbec2b3a065730090978f9a82eba55cd488360634c,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/refinement-and-dp-sm103a-v1/max-full-matrix-clip01-s42,full,compile-max-autotune,full-matrix-clip01,42,9363488,286,112459776,1.5205349781604447,1775031.872493088,61.14122100104578,155.25977864302695,4d4149ce4745307837eaccc8866d480c7332127b,True,9a514c5fd40fd09abdf2bacbec2b3a065730090978f9a82eba55cd488360634c,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
full/refinement-and-dp-sm103a-v1/zloss1e4-s42,full,compile,z-loss-1e-4,42,9363488,286,112459776,1.543096564429408,1076282.6959855487,100.835604256019,142.84236955503002,4d4149ce4745307837eaccc8866d480c7332127b,True,9a514c5fd40fd09abdf2bacbec2b3a065730090978f9a82eba55cd488360634c,55ac7082517c3878ae653c07c09c534b8aed49f6,2.9.1+cu128,12.8,/usr/local/cuda-13.0/bin/ptxas,NVIDIA B300,10.3
