checkpoint_iteration,training_tokens_at_checkpoint,acc,acc_stderr,acc_norm,acc_norm_stderr,raw_correct,normalized_correct
9537,10000269312,0.6153427638737758,0.011348089407481552,0.6180631120783461,0.011332858366845945,1131,1136
19074,20000538624,0.6392818280739935,0.01120101649864996,0.6235038084874864,0.011301265957211568,1175,1146
28611,30000807936,0.6458106637649619,0.011155719689527272,0.6365614798694232,0.011219226129190329,1187,1170
38148,40001077248,0.6583242655059848,0.011062524523422908,0.6463547334058759,0.011151842780174963,1210,1188
47685,50001346560,0.6556039173014145,0.011083504906982187,0.6485310119695321,0.011136177027287374,1205,1192
57222,60001615872,0.6605005440696409,0.011045449073768475,0.6447225244831338,0.011163426189137468,1214,1185
66759,70001885184,0.6637649619151251,0.011019347838908245,0.6523394994559304,0.011108150624020076,1220,1199
76296,80002154496,0.6670293797606094,0.010992657216300073,0.6452665941240479,0.011159580820390747,1226,1186
85833,90002423808,0.6670293797606094,0.010992657216300073,0.6452665941240479,0.011159580820390747,1226,1186
95368,100000595968,0.6692056583242655,0.010974533910578399,0.6507072905331882,0.011120257485319127,1230,1196
