campaign,scale,budget_regime,variant,parameters,mean_final_bpb,paired_delta_bpb,valid_seeds,throughput_ratio,status,as_of
d14-controlled,d14,fixed-1B-training-tokens,baseline,399114882,0.843769650,,3,,complete,2026-08-24
scaling-clean-v1,d16,fixed-1B-training-tokens,baseline,536871738,0.830908465,,3,1.000,complete,2026-08-24
scaling-clean-v1,d16,fixed-1B-training-tokens,mhc,540018330,0.826489939,-0.004418526,3,0.31,complete,2026-08-24
scaling-clean-v1,d16,fixed-1B-training-tokens,qwen-gdn,587795514,0.826504252,-0.004404213,3,0.52,complete,2026-08-24
scaling-clean-v1,d16,fixed-1B-training-tokens,inkling-sconv-kv,537002810,0.828381030,-0.002527435,3,0.61,complete,2026-08-24
scaling-clean-v1,d16,fixed-1B-training-tokens,engram,685583674,0.827963615,-0.002944850,3,0.94,complete,2026-08-24
scaling-clean-v1,d16,fixed-1B-training-tokens,xielu,536871770,0.829311166,-0.001597299,3,0.90,complete,2026-08-24
scaling-clean-v1,d16,fixed-1B-training-tokens,shared-mtp3,551551802,0.829831122,-0.001077343,3,0.69,complete,2026-08-24
scaling-clean-v1,d16,fixed-1B-training-tokens,exclusive-attention,536871738,0.829390859,-0.001517605,3,0.97,complete,2026-08-24
scaling-clean-v1,d16,fixed-1B-training-tokens,per-head-muon,536871738,0.830220570,-0.000687895,3,0.71,complete,2026-08-24
scaling-clean-v1,d18,fixed-1B-training-tokens,baseline,701891594,0.820979116,,3,1.000,complete,2026-08-24
scaling-clean-v1,d18,fixed-1B-training-tokens,mhc,705873878,0.817116988,-0.003862128,3,0.32,complete,2026-08-24
scaling-clean-v1,d18,fixed-1B-training-tokens,qwen-gdn,777050910,0.817408065,-0.003571050,3,0.55,complete,2026-08-24
scaling-clean-v1,d18,fixed-1B-training-tokens,inkling-sconv-kv,702057482,0.818039308,-0.002939807,3,0.62,complete,2026-08-24
scaling-clean-v1,d18,fixed-1B-training-tokens,engram,850833930,0.819709338,-0.001269778,3,0.95,complete,2026-08-24
